Currency,Rate,Rate_in_EUR
USD,1.0,0.85
AED,3.67,3.1195
AFN,70.89,60.256499999999996
ALL,92.07,78.25949999999999
AMD,387.93,329.7405
ANG,1.79,1.5215
AOA,883.5,750.975
ARS,923.5,784.975
AUD,1.49,1.2665
AWG,1.79,1.5215
AZN,1.7,1.4449999999999998
BAM,1.8,1.53
BBD,2.0,1.7
BDT,117.54,99.909
BGN,1.79,1.5215
BHD,0.376,0.3196
BIF,2874.1,2442.9849999999997
BMD,1.0,0.85
BND,1.34,1.139
BOB,6.92,5.882
BRL,5.43,4.6155
BSD,1.0,0.85
BTN,83.58,71.04299999999999
BWP,13.51,11.4835
BYN,3.27,2.7795
BZD,2.0,1.7
CAD,1.37,1.1645
CDF,2830.89,2406.2565
CHF,0.894,0.7599
CLP,909.4,772.99
CNY,7.28,6.188
COP,3959.27,3365.3795
CRC,522.53,444.15049999999997
CUP,24.0,20.4
CVE,101.2,86.02
CZK,23.25,19.7625
DJF,177.72,151.06199999999998
DKK,6.85,5.8225
DOP,59.15,50.277499999999996
DZD,134.37,114.2145
EGP,48.03,40.8255
ERN,15.0,12.75
ETB,57.87,49.189499999999995
EUR,0.918,0.7803
FJD,2.23,1.8955
FKP,0.771,0.65535
FOK,6.85,5.8225
GBP,0.771,0.65535
GEL,2.7,2.295
GGP,0.771,0.65535
GHS,15.49,13.1665
GIP,0.771,0.65535
GMD,64.87,55.139500000000005
GNF,8665.77,7365.904500000001
GTQ,7.75,6.5874999999999995
GYD,209.24,177.854
HKD,7.81,6.6385
HNL,24.75,21.037499999999998
HRK,6.92,5.882
HTG,131.87,112.0895
HUF,359.72,305.762
IDR,16160.97,13736.824499999999
ILS,3.62,3.077
IMP,0.771,0.65535
INR,83.58,71.04299999999999
IQD,1312.01,1115.2085
IRR,42084.41,35771.7485
ISK,137.01,116.45849999999999
JEP,0.771,0.65535
JMD,156.47,132.99949999999998
JOD,0.709,0.6026499999999999
JPY,158.4,134.64000000000001
KES,129.6,110.16
KGS,85.65,72.80250000000001
KHR,4130.83,3511.2055
KID,1.49,1.2665
KMF,451.53,383.80049999999994
KRW,1383.14,1175.669
KWD,0.306,0.2601
KYD,0.833,0.70805
KZT,474.65,403.4525
LAK,21948.37,18656.1145
LBP,89500.0,76075.0
LKR,302.89,257.4565
LRD,195.09,165.8265
LSL,18.07,15.3595
LYD,4.83,4.1055
MAD,9.83,8.3555
MDL,17.69,15.0365
MGA,4495.74,3821.379
MKD,56.39,47.9315
MMK,2095.75,1781.3875
MNT,3379.94,2872.949
MOP,8.04,6.833999999999999
MRU,39.76,33.796
MUR,46.59,39.6015
MVR,15.43,13.115499999999999
MWK,1744.85,1483.1225
MXN,17.68,15.027999999999999
MYR,4.68,3.9779999999999998
MZN,63.91,54.323499999999996
NAD,18.07,15.3595
NGN,1583.98,1346.383
NIO,36.83,31.3055
NOK,10.8,9.18
NPR,133.72,113.66199999999999
NZD,1.65,1.4024999999999999
OMR,0.384,0.3264
PAB,1.0,0.85
PEN,3.72,3.162
PGK,3.86,3.2809999999999997
PHP,58.4,49.64
PKR,278.56,236.77599999999998
PLN,3.93,3.3405
PYG,7486.3,6363.355
QAR,3.64,3.094
RON,4.56,3.8759999999999994
RSD,107.46,91.341
RUB,88.29,75.04650000000001
RWF,1313.25,1116.2625
SAR,3.75,3.1875
SBD,8.5,7.225
SCR,13.84,11.764
SDG,449.15,381.7775
SEK,10.6,9.01
SGD,1.34,1.139
SHP,0.771,0.65535
SLE,23.5,19.974999999999998
SLL,23504.72,19979.012
SOS,571.41,485.69849999999997
SRD,29.8,25.33
SSP,2193.74,1864.6789999999999
STN,22.49,19.1165
SYP,12862.15,10932.8275
SZL,18.07,15.3595
THB,36.05,30.6425
TJS,10.67,9.0695
TMT,3.5,2.975
TND,3.11,2.6435
TOP,2.33,1.9805
TRY,33.06,28.101000000000003
TTD,6.73,5.7205
TVD,1.49,1.2665
TWD,32.58,27.692999999999998
TZS,2663.33,2263.8305
UAH,41.27,35.0795
UGX,3690.31,3136.7635
UYU,40.11,34.0935
UZS,12669.51,10769.0835
VES,36.51,31.033499999999997
VND,25393.81,21584.7385
VUV,118.6,100.80999999999999
WST,2.73,2.3205
XAF,602.04,511.734
XCD,2.7,2.295
XDR,0.754,0.6409
XOF,602.04,511.734
XPF,109.52,93.092
YER,250.15,212.6275
ZAR,18.07,15.3595
ZMW,25.91,22.0235
ZWL,13.76,11.696
